俗名	拉丁名	基因组大小M	单位或作者	文章标题	期刊名称	文章DOI	PUBMED号	发表年份	开始年份	分类	分组
(Abyssinian banana)	Ensete ventricosum	547	Harrison J et al.	"A Draft Genome Sequence for Ensete ventricosum, the Drought-Tolerant 'Tree Against Hunger'."	"Agronomy 2014, 4, 13-33"	10.3390/agronomy4010013	1090	2014	2014/1/17	monocotyledon	2
(Yunnan banana)	Musa itinerans	615	Wu W et al.	Whole genome sequencing of a banana wild relative Musa itinerans provides insights into lineage-specific diversification of the Musa genus	Sci Rep. 2016 Aug 17 6:31586.	10.1038/srep31586	27531320	2016	2016/8/17	monocotyledon	2
	Amborella trichopoda	748	Amborella Genome Project et al.	The Amborella genome and the evolution of flowering plants.	Science. 2013 Dec 20 342(6165):1241089.	10.1126/science.1241089	24357323	2013	2013/12/20	basalmagnoliophyt	2
(Blue pigmy water lily)	Nymphaea colorata	409	Zhang L et al.	The water lily genome and the early evolution of flowering plants.	"Nature. 2019 Dec 18, Epub ahead of print"	10.1038/s41586-019-1852-5	NA	2019	2019/12/18	basalmagnoliophyt	2
(Rwandan pigmy water lily)	Nymphaea thermarum	500	Povilus RA et al.	Water lily (Nymphaea thermarum) genome reveals variable genomic signatures of ancient vascular cambium losses.	"Proc Natl Acad Sci U S A. 2020 Mar 31, Epub ahead of print"	10.1073/pnas.1922873117	NA	2020	2020/3/31	basalmagnoliophyt	2
(Prickly waterlily)	Euryale ferox	768	Yang Y et al.	Prickly waterlily and rigid hornwort genomes shed light on early angiosperm evolution.	"Nat Plants. 2020 Feb 24, Epub ahead of print"	10.1038/s41477-020-0594-6	NA	2020	2020/2/24	basalmagnoliophyt	2
(Chinese tulip tree)	Liriodendron chinense	1750	Chen J et al.	Liriodendron genome sheds light on angiosperm phylogeny and species-pair differentiation.	"Nat Plants. 2018 Dec 17, Epub ahead of print"	10.1038/s41477-018-0323-6	30559417	2018	2018/12/17	basalmagnoliophyt	2
(Stout camphor tree)	Cinnamomum kanehirae	830	Chaw SM et al.	Stout camphor tree genome fills gaps in understanding of flowering plant genome evolution.	"Nat Plants. 2019 Jan, 5(1): 63-73"	10.1038/s41477-018-0337-0	30626928	2019	2019/1/9	basalmagnoliophyt	2
 	Chimonanthus salicifolius	836	Lv Q et al.	The Chimonanthus Salicifolius Genome Provides Insight Into Magnoliid Evolution and Flavonoid Biosynthesis.	"Plant J. 2020 Jun 10, Online ahead of print. "	10.1111/tpj.14874	NA	2020	2020/6/10	basalmagnoliophyt	2
(Wintersweet)	Chimonanthus praecox	780	Shang J et al.	The chromosome-level wintersweet (Chimonanthus praecox) genome provides insights into floral scent biosynthesis and flowering in winter.	"Genome Biol. 2020 Aug 10, 21(1): 200"	10.1186/s13059-020-02088-y	NA	2020	2020/8/10	basalmagnoliophyt	2
(Avocado)	Persea americana	980	Rendon-Anaya M et al.	"The avocado genome informs deep angiosperm phylogeny, highlights introgressive hybridization, and reveals pathogen-influenced gene space adaptation."	"Proc Natl Acad Sci U S A. 2019 Aug 6, Epub ahead of print"	10.1073/pnas.1822129116	31387975	2019	2019/8/6	basalmagnoliophyt	2
(Aromatic litsea)	Litsea cubeba	1370	Chen YC et al.	The Litsea genome and the evolution of the laurel family.	"Nat Commun. 2020 Apr 3, 11(1): 1675"	10.1038/s41467-020-15493-5	NA	2020	2020/4/3	basalmagnoliophyt	2
(Coontail)	Ceratophyllum demersum	777	Yang Y et al.	Prickly waterlily and rigid hornwort genomes shed light on early angiosperm evolution.	"Nat Plants. 2020 Feb 24, Epub ahead of print"	10.1038/s41477-020-0594-6	NA	2020	2020/2/24	basalmagnoliophyt	2
(Black pepper)	Piper nigrum	762	Hu L et al.	The chromosome-scale reference genome of black pepper provides insight into piperine biosynthesis	"Nat Commun. 2019 Oct 16, 10(1): 4702"	10.1038/s41467-019-12607-6	NA	2019	2019/10/16	basalmagnoliophyt	2
(Kiwifruit)	Actinidia chinensis	758	Huang et al.	Draft genome of the kiwifruit Actinidia chinensis.	Nat Commun. 2013 4:2640.	10.1038/ncomms3640	24136039	2013	2013/10/18	asterid	1
(Velvet kiwifruit)	Actinidia eriantha	745	Tang W et al.	Chromosome-scale genome assembly of kiwifruit Actinidia eriantha with single-molecule sequencing and chromatin interaction mapping.	"Gigascience. 2019 Apr 1, 8(4): giz027."	10.1093/gigascience/giz027	30942870	2019	2019/4/1	asterid	1
(Dove tree)	Davidia involucrata	1169	Chen Y et al.	Genomic analyses of a living fossil: The endangered dove-tree.	"Mol Ecol Resour. 2020 May, 20(3), Epub 2020 Feb 11"	10.1111/1755-0998.13138	NA	2020	2020/2/11	asterid	1
(Happy tree)	Camptotheca acuminata	516	Zhao D et al.	"De novo genome assembly of Camptotheca acuminata, a natural source of the anti-cancer compound camptothecin"	Gigascience 2017 Jul 24 Epub ahead of print	10.1093/gigascience/gix065	28473262	2017	2017/7/24	asterid	1
(Hortensia)	Hydrangea macrophylla	2200	Nashima K et al.	Genome sequence of Hydrangea macrophylla and its application in analysis of the double flower phenotype.	"DNA Res. 2020 Nov 11, dsaa026. Online ahead of print. "	10.1093/dnares/dsaa026	NA	2020	2020/11/11	asterid	1
(Yunnan tupelo)	Nyssa yunnanensis	1640	Mu W et al.	"The draft genome assembly of the critically endangered Nyssa yunnanensis, a plant species with extremely small populations endemic to Yunnan Province, China."	"Gigabyte, 1, 2020"	10.46471/gigabyte.4	NA	2020	2020/9/1	asterid	1
(Chinese tupelo)	Nyssa sinensis	1000	Yang X et al.	A chromosome-level genome assembly of the Chinese tupelo Nyssa sinensis.	"Sci Data. 2019 Nov 25, 6(1): 282"	10.1038/s41597-019-0296-y	NA	2019	2019/11/25	asterid	1
(Cowslip)	Primula veris	480	Nowak MD et al.	The draft genome of Primula veris yields insights into the molecular basis of heterostyly	Genome Biol. 2015 Jan 24 16:12.	10.1186/s13059-014-0567-z	25651398	2015	2015/1/24	asterid	1
(Gorgons dewstick)	Roridula gorgonias	186	Hartmann S et al.	"Annotated genome sequences of the carnivorous plant Roridula gorgonias and a non-carnivorous relative, Clethra arborea."	"BMC Res Notes. 2020 Sep 10, 13(1): 426"	10.1186/s13104-020-05254-4	NA	2020	2020/9/10	asterid	1
(Lily-of-the-valley tree)	Clethra arborea	550	Hartmann S et al.	"Annotated genome sequences of the carnivorous plant Roridula gorgonias and a non-carnivorous relative, Clethra arborea."	"BMC Res Notes. 2020 Sep 10, 13(1): 426"	10.1186/s13104-020-05254-4	NA	2020	2020/9/10	asterid	1
(Argane tree)	Argania spinosa	573	Khayi S et al.	First draft genome assembly of the Argane tree (Argania spinosa).	"F1000Res. 2020 May 19, 7: 1310"	10.5256/f1000research.25962.r63017	NA	2020	2020/5/19	asterid	1
(Common primrose)	Primula vulgaris	470	Cocker JM et al.	"Primula vulgaris (primrose) genome assembly, annotation and gene expression, with comparative genomics on the heterostyly supergene."	"Sci Rep. 2018 Dec 18, 8(1): 17942"	10.1038/s41598-018-36304-4	30560928	2018	2018/12/18	asterid	1
(Tea tree)	Camellia sinensis	3000	Xia EH et al.	The tea tree genome provides insights into tea flavor and independent evolution of caffeine biosynthesis	Mol Plant. 2017 Jun 5 10(6):866-877. Epub 2017 May 2.	10.1016/j.molp.2017.04.002	28473262	2017	2017/5/1	asterid	1
(Oily persimmon)	Diospyros oleifera	850	Zhu QG et al.	The persimmon (Diospyros oleifera Cheng) genome provides new insights into the inheritance of astringency and ancestral evolution.	"Hortic Res. 2019 Dec 18, 6: 138"	10.1038/s41438-019-0227-2	NA	2019	2019/12/18	asterid	1
(Caucasian persimmon)	Diospyros lotus	878	Akagi T et al.	The persimmon genome reveals clues to the evolution of a lineage-specific sex determination system in plants.	"PLoS Genet. 2020 Feb 18, 16(2), Epub ahead of print"	10.1371/journal.pgen.1008566	NA	2020	2020/2/18	asterid	1
(American cranberry)	Vaccinium macrocarpon	470	Polashock et al.	The American cranberry: first insights into the whole genome of a species adapted to bog habitat.	BMC Plant Biol. 2014 Jun 13 14:165.	10.1186/1471-2229-14-165	24927653	2014	2014/6/13	asterid	1
(American blueberry)	Vaccinium corymbosum	500	Gupta V et al.	"RNA-Seq analysis and annotation of a draft blueberry genome assembly identifies candidate genes involved in fruit ripening, biosynthesis of bioactive compounds, and stage-specific alternative splicing"	"Gigascience. 2015 Feb 13, 4:5"	10.1186/s13742-015-0046-9	25830017	2015	2015/2/13	asterid	1
(Sim's azalea)	Rhododendron simsii	530	Yang F et al.	Chromosome-level genome assembly of a parent species of widely cultivated azaleas.	"Nat Commun. 11, 5269 (2020)"	10.1038/s41467-020-18771-4	NA	2020	2020/10/19	asterid	1
(Tree rhododendron)	Rhododendron delavayi	700	Zhang L et al.	The draft genome assembly of Rhododendron delavayi Franch. var. delavayi	GigaScience 2017: gix076	10.1093/gigascience/gix076	25830017	2017	2017/8/26	asterid	1
(Williams rhododendron)	Rhododendron williamsianum	651	Soza VL et al.	The Rhododendron genome and chromosomal organization provide insight into shared whole genome duplications across the heath family (Ericaceae).	"Genome Biol Evol. 2019 Nov 8, Epub ahead of print"	10.1093/gbe/evz245	NA	2019	2019/11/8	asterid	1
"(Goatgrass, wheat D-genome)"	Aegilops tauschii	4360	Jia et al.	Aegilops tauschii draft genome sequence reveals a gene repertoire for wheat adaptation.	Nature. 2013 Apr 4 496(7443):91-5. Epub 2013 Mar 24.	10.1038/nature12028	23535592	2013	2013/3/24	monocotyledon	2
(Cockatoo grass)	Alloteropsis semialata	1100	Dunning LT et al.	Lateral transfers of large DNA fragments spread functional genes among grasses. 	"Proc Natl Acad Sci U S A. 2019 Mar 5, 116(10): 4416-4425. Epub 2019 Feb 20. "	10.1073/pnas.1810031116	NA	2019	2019/2/20	monocotyledon	2
(Neem tree)	Azadirachta indica	364	Krishnan et al.	A draft of the genome and four transcriptomes of a medicinal and pesticidal angiosperm Azadirachta indica.	BMC Genomics. 2012 Sep 9 13:464.	10.1186/1471-2164-13-464	22958331	2012	2012/9/9	rosid	1
(Chinese mahogany)	Toona sinensis	580	Ji YT et al.	Long read sequencing of Toona sinensis (A. Juss) Roem: a chromosome-level reference genome for the Meliaceae family.	Mol Ecol Resour. 2021 Jan 9. Online ahead of print.	10.1111/1755-0998.13318	NA	2021	2021/1/9	rosid	1
(Sweet alyssum)	Lobularia maritima	240	Huang L et al.	"A chromosome-scale reference genome of Lobularia maritima, an ornamental plant with high stress tolerance."	"Hortic Res. 7, 197 (2020). "	10.1038/s41438-020-00422-w	NA	2020	2020/12/1	rosid	1
(Northern rockcress)	Arabidopsis lyrata	207	Hu et al.	The Arabidopsis lyrata genome sequence and the basis of rapid genome size change.	Nat Genet. 2011 May 43(5):476-81. Epub 2011 Apr 10.	10.1038/ng.807	21478890	2011	2011/4/10	rosid	1
(Alpine rockcress)	Arabis alpina	375	Willing EM et al.	Genome expansion of Arabis alpina linked with retrotransposition and reduced symmetric DNA methylation.	"Nat Plants. 2015 Feb 2, 1:14023"	10.1038/nplants.2014.23	27246759	2015	2015/2/2	rosid	1
(Gladecress)	Leavenworthia alabamica	316	Haudry et al.	"An atlas of over 90,000 conserved noncoding sequences provides insight into crucifer regulatory regions."	Nat Genet. 2013 Aug 45(8):891-8. Epub 2013 Jun 30.	10.1038/ng.2684	23817568	2013	2013/6/30	rosid	1
(London rocket)	Sisymbrium irio	262	Haudry et al.	"An atlas of over 90,000 conserved noncoding sequences provides insight into crucifer regulatory regions."	Nat Genet. 2013 Aug 45(8):891-8. Epub 2013 Jun 30.	10.1038/ng.2684	23817568	2013	2013/6/30	rosid	1
(Arabic etionema/krylotychinnik)	Aethionema arabicum	240	Haudry et al.	"An atlas of over 90,000 conserved noncoding sequences provides insight into crucifer regulatory regions."	Nat Genet. 2013 Aug 45(8):891-8. Epub 2013 Jun 30.	10.1038/ng.2684	23817568	2013	2013/6/30	rosid	1
(Spider flower)	Tarenaya hassleriana	290	Cheng et al.	The Tarenaya hassleriana genome provides insight into reproductive trait and genome evolution of crucifers.	Plant Cell. 2013 Aug 25(8):2813-30. Epub 2013 Aug 27.	10.1105/tpc.113.113480	23983221	2013	2013/8/27	rosid	1
(Drumstick tree)	Moringa oleifera	315	Tian Y et al.	"High quality reference genome of drumstick tree (Moringa oleifera Lam.), a potential perennial crop."	Sci China Life Sci. 2015 Jul 58(7):627-38. Epub 2015 Jun 1.	10.1007/s11427-015-4872-x	26032590	2015	2015/6/1	rosid	1
(Wild radish)	Raphanus raphanistrum	515	Moghe et al.	Consequences of Whole-Genome Triplication as Revealed by Comparative Genomic Analyses of the Wild Radish Raphanus raphanistrum and Three Other Brassicaceae Species.	Plant Cell. 2014 May 26(5):1925-1937. Epub 2014 May 29.	10.1105/tpc.114.124297	24876251	2014	2014/5/29	rosid	1
(Field pennycress)	Thlaspi arvense	539	Dorn KM et al.	A draft genome of field pennycress (Thlaspi arvense) provides tools for the domestication of a new winter biofuel crop.	DNA Res. 2015 Apr 22(2):121-31. Epub 2015 Jan 27.	10.1093/dnares/dsu045	25632110	2015	2015/1/27	rosid	1
"(Chinese cabbage, A-genome)"	Brassica rapa	485	Wang et al.	The genome of the mesopolyploid crop species Brassica rapa.	Nat Genet. 2011 Aug 28 43(10):1035-9.	10.1038/ng.919	21873998	2011	2011/8/28	rosid	1
"(Black mustard, B-genome)"	Brassica nigra	591	Yang J et al.	The genome sequence of allopolyploid Brassica juncea and analysis of differential homoeolog gene expression influencing selection.	Nat Genet. 2016 Oct 48(10):1225-32. Epub 2016 Sep 5.	10.1038/ng.3657	27595476	2016	2016/9/5	rosid	1
"(Chinese mustard, AABB-genome)"	Brassica juncea	922	Yang J et al.	The genome sequence of allopolyploid Brassica juncea and analysis of differential homoeolog gene expression influencing selection.	Nat Genet. 2016 Oct 48(10):1225-32. Epub 2016 Sep 5.	10.1038/ng.3657	27595476	2016	2016/9/5	rosid	1
(Hemp)	Cannabis sativa	820	van Bakel et al.	The draft genome and transcriptome of Cannabis sativa.	Genome Biol. 2011 Oct 20 12(10):R102.	10.1186/gb-2011-12-10-r102	22014239	2011	2011/10/20	rosid	1
(European hop)	Humulus lupulus	2570	Natsume et al.	"The Draft Genome of Hop (Humulus lupulus), an Essence for Brewing."	Plant Cell Physiol. 2015 Mar 56(3):428-41. Epub 2014 Nov 20.	10.1093/pcp/pcu169	25416290	2014	2014/11/20	rosid	1
 	Parasponia andersonii	563	van Velzen R et al.	Comparative genomics of the nonlegume Parasponia reveals insights into evolution of nitrogen-fixing rhizobium symbioses.	"Proc Natl Acad Sci U S A. 2018 May 1, Epub ahead of print"	10.1073/pnas.1721395115	29717040	2018	2018/5/1	rosid	1
(Indian charcoal tree)	Trema orientalis	506	van Velzen R et al.	Comparative genomics of the nonlegume Parasponia reveals insights into evolution of nitrogen-fixing rhizobium symbioses.	"Proc Natl Acad Sci U S A. 2018 May 1, Epub ahead of print"	10.1073/pnas.1721395115	29717040	2018	2018/5/1	rosid	1
(Chickpea)	Cicer arietinum	738	Varshney et al.	Draft genome sequence of chickpea (Cicer arietinum) provides a resource for trait improvement.	Nat Biotechnol. 2013 Mar 31(3):240-6. Epub 2013 Jan 27.	10.1038/nbt.2491	23354103	2013	2013/1/27	rosid	1
(Sensitive plant)	Mimosa pudica	896	Griesmann M et al.	Phylogenomics reveals multiple losses of nitrogen-fixing root nodule symbiosis.	"Science. 2018 Jul 13, 361(6398)"	10.1126/science.aat1743	29794220	2018	2018/7/13	rosid	1
(Swamp oak)	Casuarina glauca	314	Griesmann M et al.	Phylogenomics reveals multiple losses of nitrogen-fixing root nodule symbiosis.	"Science. 2018 Jul 13, 361(6398)"	10.1126/science.aat1743	29794220	2018	2018/7/13	rosid	1
(Australian pine)	Casuarina equisetifolia	300	Ye G et al.	De novo genome assembly of the stress tolerant forest species Casuarina equisetifolia provides insight into secondary growth.	"Plant J. 2018 Nov 14, Epub ahead of print"	10.1111/tpj.14159	30427081	2018	2018/11/14	rosid	1
(Partridge pea)	Chamaecrista fasciculata	550	Griesmann M et al.	Phylogenomics reveals multiple losses of nitrogen-fixing root nodule symbiosis.	"Science. 2018 Jul 13, 361(6398)"	10.1126/science.aat1743	29794220	2018	2018/7/13	rosid	1
(Drummond's mountain-avens)	Dryas drummondii	253	Griesmann M et al.	Phylogenomics reveals multiple losses of nitrogen-fixing root nodule symbiosis.	"Science. 2018 Jul 13, 361(6398)"	10.1126/science.aat1743	29794220	2018	2018/7/13	rosid	1
(Eastern redbud)	Cercis canadensis	301	Griesmann M et al.	Phylogenomics reveals multiple losses of nitrogen-fixing root nodule symbiosis.	"Science. 2018 Jul 13, 361(6398)"	10.1126/science.aat1743	29794220	2018	2018/7/13	rosid	1
(Schott's yellowhood)	Nissolia schottii	471	Griesmann M et al.	Phylogenomics reveals multiple losses of nitrogen-fixing root nodule symbiosis.	"Science. 2018 Jul 13, 361(6398)"	10.1126/science.aat1743	29794220	2018	2018/7/13	rosid	1
(European alder)	Alnus glutinosa	461	Griesmann M et al.	Phylogenomics reveals multiple losses of nitrogen-fixing root nodule symbiosis.	"Science. 2018 Jul 13, 361(6398)"	10.1126/science.aat1743	29794220	2018	2018/7/13	rosid	1
(Durango root)	Datisca glomerata	827	Griesmann M et al.	Phylogenomics reveals multiple losses of nitrogen-fixing root nodule symbiosis.	"Science. 2018 Jul 13, 361(6398)"	10.1126/science.aat1743	29794220	2018	2018/7/13	rosid	1
(Fuchsia begonia)	Begonia fuchsioides	935	Griesmann M et al.	Phylogenomics reveals multiple losses of nitrogen-fixing root nodule symbiosis.	"Science. 2018 Jul 13, 361(6398)"	10.1126/science.aat1743	29794220	2018	2018/7/13	rosid	1
 	Ochetophila trinervis	650	Griesmann M et al.	Phylogenomics reveals multiple losses of nitrogen-fixing root nodule symbiosis.	"Science. 2018 Jul 13, 361(6398)"	10.1126/science.aat1743	29794220	2018	2018/7/13	rosid	1
(Chinese liquorice)	Glycyrrhiza uralensis	400	Mochida K et al.	"Draft genome assembly and annotation of Glycyrrhiza uralensis, a medicinal legume."	Plant J. 2017 Jan 89(2):181-194. Epub 2016 Oct 24.	10.1111/tpj.13385	27775193	2016	2016/10/24	rosid	1
(Wild chickpea)	Cicer reticulatum	817	Gupta S et al.	"Draft genome sequence of Cicer reticulatum L., the wild progenitor of chickpea provides a resource for agronomic trait improvement."	DNA Res. 2017 Feb 1 24(1):1-10.	10.1093/dnares/dsw042	27567261	2016	2016/8/26	rosid	1
(Pigeon pea)	Cajanus cajan	833	Varshney et al.	"Draft genome sequence of pigeonpea (Cajanus cajan), an orphan legume crop of resource-poor farmers."	Nat Biotechnol. 2011 Nov 6 30(1):83-9.	10.1038/nbt.2022	22057054	2011	2011/11/6	rosid	1
(Narrow-leaved blue lupine)	Lupinus angustifolius	1150	Yang et al.	"Draft genome sequence, and a sequence-defined genetic linkage map of the legume crop species Lupinus angustifolius L."	PLoS One. 2013 May 29 8(5):e64799. Print 2013.	10.1371/journal.pone.0064799	23734219	2013	2013/5/29	rosid	1
(White lupin)	Lupinus albus	450	Hufnagel B et al.	High-quality genome sequence of white lupin provides insight into soil exploration and seed quality.	"Nat Commun. 11, 492 (2020), Epub ahead of print"	10.1038/s41467-019-14197-9	NA	2020	2020/1/24	rosid	1
(Clementine mandarin)	Citrus clementina	302	Wu et al.	"Sequencing of diverse mandarin, pummelo and orange genomes reveals complex history of admixture during citrus domestication"	Nat Biotechnol. 2014 Jul 32(7):656-62. Epub 2014 Jun 8.	10.1038/nbt.2906	24908277	2014	2014/6/8	rosid	1
(Trifoliate orange)	Poncirus trifoliata	273	Peng Z et al.	" A Chromosome-scale Reference Genome of Trifoliate Orange (Poncirus trifoliata) Provides Insights into Disease Resistance, Cold Tolerance and Genome Evolution in Citrus."	"Plant J. 2020 Sep 27, Online ahead of print."	10.1111/tpj.14993	NA	2020	2020/9/27	rosid	1
(Wild mandarin)	Citrus reticulata	370	Wang L et al.	Genome of wild mandarin and domestication history of mandarin	"Mol Plant. 2018 June 6, Epub ahead of print"	10.1016/j.molp.2018.06.001		2018	2018/6/6	rosid	1
(Satsuma mandarin)	Citrus unshiu	370	Shimizu T et al.	Draft Sequencing of the Heterozygous Diploid Genome of Satsuma (Citrus unshiu Marc.) Using a Hybrid Assembly Approach.	"Front Genet. 2017 Dec 5, 8: 180"	10.3389/fgene.2017.00180	29259619	2017	2017/12/5	rosid	1
(Yellowhorn)	Xanthoceras sorbifolium	440	Liang Q et al.	The genome assembly and annotation of yellowhorn (Xanthoceras sorbifolium Bunge).	"Gigascience. 2019 Jun, 8(6): giz071"	10.1093/gigascience/giz071	31241155	2019	2019/6/26	rosid	1
(Longan)	Dimocarpus longan	480	Lin Y et al.	Genome-wide sequencing of longan (Dimocarpus longan Lour.) provides insights into molecular basis of its polyphenol-rich characteristics	Gigascience. 2017 May 1 6(5):1-14.	10.1093/gigascience/gix023	28368449	2017	2017/3/28	rosid	1
(Purpleblow maple)	Acer truncatum	654	Ma Q et al.	The Acer truncatum genome provides insights into the nervonic acid biosynthesis.	"Plant J . 2020 Aug 9, Online ahead of print."	10.1111/tpj.14954	NA	2020	2020/8/9	rosid	1
 	Acer yangbiense	640	Yang J et al.	"De novo genome assembly of the endangered Acer yangbiense, a plant species with extremely small populations endemic to Yunnan Province, China."	Gigascience. 2019 Jul 1 8(7)	10.1093/gigascience/giz085	31307060	2019	2019/7/15	rosid	1
(Marula)	Sclerocarya birrea	356	Chang Y et al.	The draft genomes of five agriculturally important African orphan crops.	"GigaScience 2018, giy152"	10.1093/gigascience/giy152	NA	2018	2018/12/7	rosid	1
(Swingle citrumelo)	Citrus paradisi x Poncirus trifoliata	380	Zhang Y et al.	Transcriptome analysis of root response to citrus blight based on the newly assembled Swingle citrumelo draft genome.	BMC Genomics. 2016 Jul 8 17:485.	10.1186/s12864-016-2779-y	27391971	2016	2016/7/8	rosid	1
(Chinese box-orange)	Atalantia buxifolia	328	Wang X et al.	"Genomic analyses of primitive, wild and cultivated citrus provide insights into asexual reproduction"	Nat Genet. 2017 May 49(5):765-772. Epub 2017 Apr 10.	10.1038/ng.3839	28394353	2017	2017/4/10	rosid	1
(Citron)	Citrus medica	407	Wang X et al.	"Genomic analyses of primitive, wild and cultivated citrus provide insights into asexual reproduction"	Nat Genet. 2017 May 49(5):765-772. Epub 2017 Apr 10.	10.1038/ng.3839	28394353	2017	2017/4/10	rosid	1
(Ichang papeda)	Citrus ichangensis	391	Wang X et al.	"Genomic analyses of primitive, wild and cultivated citrus provide insights into asexual reproduction"	Nat Genet. 2017 May 49(5):765-772. Epub 2017 Apr 10.	10.1038/ng.3839	28394353	2017	2017/4/10	rosid	1
(Pummelo)	Citrus grandis	381	Wang X et al.	"Genomic analyses of primitive, wild and cultivated citrus provide insights into asexual reproduction"	Nat Genet. 2017 May 49(5):765-772. Epub 2017 Apr 10.	10.1038/ng.3839	28394353	2017	2017/4/10	rosid	1
(Watermelon)	Citrullus lanatus	425	Guo et al.	The draft genome of watermelon (Citrullus lanatus) and resequencing of 20 diverse accessions.	Nat Genet. 2013 Jan 45(1):51-8. Epub 2012 Nov 25.	10.1038/ng.2470	23179023	2012	2012/11/25	rosid	1
(Papaya)	Carica papaya	372	Ming et al.	The draft genome of the transgenic tropical fruit tree papaya (Carica papaya Linnaeus).	Nature. 2008 Apr 24 452(7190):991-6.	10.1038/nature06856	18432245	2008	2008/4/24	rosid	1
(Red shepherd's purse)	Capsella rubella	219	Slotte et al.	The Capsella rubella genome and the genomic consequences of rapid mating system evolution.	Nat Genet. 2013 Jul 45(7):831-5. Epub 2013 Jun 9.	10.1038/ng.2669	23749190	2013	2013/6/9	rosid	1
(Grand shepherd's purse)	Capsella grandiflora	115	Slotte T et al.	The Capsella rubella genome and the genomic consequences of rapid mating system evolution.	Nat Genet. 2013 Jul 45(7):831-5. Epub 2013 Jun 9.	10.1038/ng.2669	NA	2013	2013/6/9	rosid	1
(Shepherd's purse)	Capsella bursa-pastoris	410	Kasianov AS et al.	High quality genome assembly of Capsella bursa-pastoris reveals asymmetry of regulatory elements at early stages of polyploid genome evolution	Plant J. 2017 Jul 91(2):278-291. Epub 2017 Jun 12.	10.1111/tpj.13563	28387959	2017	2017/4/7	rosid	1
(Cucumber)	Cucumis sativus	367	Huang et al.	"The genome of the cucumber, Cucumis sativus L."	Nat Genet. 2009 Dec 41(12):1275-81. Epub 2009 Nov 1.	10.1038/ng.475	19881527	2009	2009/11/1	rosid	1
(Sweet orange)	Citrus sinensis	367	Xu et al.	The draft genome of sweet orange (Citrus sinensis).	Nat Genet. 2013 Jan 45(1):59-66. Epub 2012 Nov 25.	10.1038/ng.2472	23179022	2012	2012/11/25	rosid	1
(Passion fruit)	Passiflora edulis	1270	Ma D et al.	Chromosome-level reference genome assembly provides insights into aroma biosynthesis in passion fruit (Passiflora edulis). 	Mol Ecol Resour. 2020 Dec 16. Online ahead of print.	10.1111/1755-0998.13310	NA	2020	2020/12/16	rosid	1
(Common Saint John's wort)	Hypericum perforatum	400	Zhou W et al.	 Whole genome sequence data of Hypericum perforatum and functional characterization of melatonin biosynthesis by N-acetylserotonin O-methyltransferase. 	J Pineal Res. 2020 Dec 14: e12709. Online ahead of print.	10.1111/jpi.12709	NA	2020	2020/12/14	rosid	1
(Rose gum)	Eucalyptus grandis	640	Myburg et al.	The genome of Eucalyptus grandis	Nature. 2014 Jun 19 510(7505):356-62. Epub 2014 Jun 11.	10.1038/nature13308	24919147	2014	2014/6/11	rosid	1
(Guava)	Psidium guajava	464	Feng C et al.	 A chromosome-level genome assembly provides insights into ascorbic acid accumulation and fruit softening in guava (Psidium guajava).	Plant Biotechnol J. 2020 Oct 24. Online ahead of print.	10.1111/pbi.13498	NA	2020	2020/10/24	rosid	1
(River red gum)	Eucalyptus camaldulensis	655	Hirakawa H et al.	Survey of the genetic information carried in the genome of Eucalyptus camaldulensis.	"Plant Biotechnol. 2011 Dec 25, 28(5): 471-480"	10.5511/plantbiotechnology.11.1027b	NA	2011	2011/12/25	rosid	1
(Snow gum)	Eucalyptus pauciflora	530	Wang W et al.	The draft nuclear genome assembly of Eucalyptus pauciflora: a pipeline for comparing de novo assemblies.	"Gigascience. 2020 Jan 1, 9(1), Epub ahead of print"	10.1093/gigascience/giz160	NA	2020	2020/1/2	rosid	1
(Riverweed)	Cladopus chinensis	820	Xue T et al.	A high-quality genome provides insights into the new taxonomic status and genomic characteristics of Cladopus chinensis (Podostemaceae).	"Hortic Res. 7, 46 (2020), Epub ahead of print"	10.1038/s41438-020-0269-5	NA	2020	2020/4/1	rosid	1
(Manuka)	Leptospermum scoparium	338	Thrimawithana AH et al.	A whole genome assembly of Leptospermum scoparium (Myrtaceae) for manuka research.	"New Zealand J Crop Hort Sci. 2019 Nov 25, Epub ahead of print"	10.1080/01140671.2019.1657911	NA	2019	2019/11/25	rosid	1
(Pomegranate)	Punica granatum	360	Qin G et al.	The pomegranate (Punica granatum L.) genome and the genomics of punicalagin biosynthesis	Plant J. 2017 Sep 91(6):1108-1128. Epub 2017 Aug 3.	10.1111/tpj.13625	28654223	2017	2017/6/27	rosid	1
(Woodland strawberry)	Fragaria vesca	240	Shulaev et al.	The genome of woodland strawberry (Fragaria vesca).	Nat Genet. 2011 Feb 43(2):109-16. Epub 2010 Dec 26.	10.1038/ng.740	21186353	2010	2010/12/26	rosid	1
(Nilgiri strawberry)	Fragaria nilgerrensis	271	Zhang J et al.	The high-quality genome of diploid strawberry (Fragaria nilgerrensis) provides new insights into anthocyanin accumulation.	"Plant Biotechnol J. 2020 Jan 31, Epub ahead of print"	10.1111/pbi.13351	NA	2020	2020/1/31	rosid	1
(Cultivated strawberry)	Fragaria____nanassa	813	Edger PP et al.	Origin and evolution of the octoploid strawberry genome.	"Nat Genet. 2019 Feb 25, Epub ahead of print"	10.1038/s41588-019-0356-4	NA	2019	2019/2/25	rosid	1
